District,Year,Area,Avg_rainfall,AUS,AMAN,BORO,Total Paddy,Wheat,Potato,Jute,Peat,Humidity,Storm,UREA,TSP,MP,DAP,Total Fertilizer,Inundationland_Highland,Inundationland_mediumhighland,Inundationland_lowland,Inundationland_mediumlowland,Inundationland_verylowland,Miscellaneous Land,Made-Land,Total land ,Calcareous Alluvium,Noncalcareous Alluvium,Acid Basin Clay,Calcareous Brown Floodplain Soil,Calcareous Grey Floodplain Soil,Calcareous Dark Grey Floodplain Soil,Noncalcareous Grey Floodplain Soil,Noncalcareous Dark Grey Floodplain Soil,Noncalcareous Brown Floodplain Soil,Shallow Red-Brown Terrace Soil,Deep Red-Brown Terrace Soil,Brown Mottled Terrace Soil,Shallow Grey Terrace Soil,Deep Grey Terrace Soil,Grey Valley Soil,Brown Hill Soil,Grey Piedmont Soil,Total soil,Soil moisture,Max_temperature,Min_temperature,Avg_temp
 dhaka ,2008,470,2385,804,9691,233939,244434,1129,33679,29825,13900,71,yes,25967,8262,4808,1573,40610,30118,32245,20539,41335,0,30137,7048,161422,4869,6782,6253,7691,26289,28109,87891,1876,0,0,0,0,0,0,0,0,0,151856,124237,34.2,12.5,23.35
 gazipur ,2008,2095,2197,4328,93956,208434,306718,479,4300,15072,0,71,yes,29264,9225,9057,5721,53267,88346,30449,15220,20654,0,16542,0,171211,0,648,28245,0,0,0,14655,4899,13,29623,46500,2414,8375,4660,14637,0,0,125776,154669,30.2,19.5,24.85
 narsingdi ,2008,252,2197,484,93958,207669,302111,2073,14323,42440,0,71,no,30273,5068,5113,3031,43485,23779,27893,22923,20368,0,20574,0,115537,0,8247,4942,0,0,0,41976,27689,0,881,9800,601,0,140,687,0,0,81774,94963,34.2,12.5,23.35
 narayangonj ,2008,185,2197,1617,14485,129390,145492,4585,73525,3620,0,71,yes,16992,7954,7026,443,32415,9076,13243,14834,22629,0,15871,492,76145,0,2396,3263,0,0,0,18095,26925,0,2800,4840,30,213,0,728,0,0,53631,59782,34.2,12.2,23.2
 tangail ,2008,497,1856,447,170918,672851,844216,17477,56693,125166,0,78,yes,91562,19022,20143,8809,139536,91012,133622,66018,15887,0,31462,0,338001,0,28897,7786,0,0,0,128008,47714,566,14764,47378,2423,1971,6390,20642,0,0,269856,306539,34.1,10.2,22.15
 mymenshing ,2008,38132,2239,88198,491413,812189,1391800,6111,43755,50856,0,79,no,120279,34007,47121,28723,230130,163675,148743,68689,9442,0,44852,0,435401,0,11988,32531,0,0,0,88491,165795,14725,12158,28174,2689,1846,10150,7915,442,13645,346030,390549,29.6,21.6,25.6
 kishoregonj ,2008,18767,2235,25072,114327,679546,818945,9877,58910,113711,0,79,yes,48522,13993,9646,6030,78191,15749,55649,45163,77992,30550,31094,0,256197,0,2155,15564,0,0,0,119010,87157,388,39,790,0,0,0,0,0,0,207384,225103,34.12,10.8,22.46
 dhaka ,2009,492,1930,1492,28872,217990,248354,2306,42224,55858,14217,66,yes,29300,8041,5396,1578,44315,30118,32245,20539,41335,0,30137,7049,161423,4912,6831,6284,7701,26346,28881,87965,1886,0,0,0,0,0,0,0,0,0,152779,124180,35.6,14.8,25.2
 gazipur ,2009,2218,1912,4199,105450,217819,327468,447,4416,9662,0,66,yes,29059,9658,9007,5604,53328,88346,30449,15220,20654,0,16509,0,171178,0,760,28708,0,0,0,17532,3968,10,32059,43384,2202,9323,3898,10360,0,0,122736,154625,31,11.43,21.215
 narsingdi ,2009,267,1912,530,89811,212482,302823,2788,11896,38814,0,66,no,30266,5122,5277,3114,43779,23779,27893,22923,20368,0,23770,0,118733,0,9415,2460,0,0,0,39347,26208,0,1019,7800,946,0,50,430,0,0,75800,94787,35.6,14.8,25.2
 narayangonj ,2009,162,1912,1591,14048,118218,133857,4505,39551,2430,0,66,yes,16920,7834,6936,532,32222,9076,13243,14834,22629,0,19540,423,79745,0,1982,3284,0,0,0,14391,23795,0,2489,4561,20,262,0,766,0,0,46284,59631,35.6,14.8,25.2
 tangail ,2009,972,1391,1163,232731,637268,871162,13341,33307,163549,0,79,yes,88769,17126,18791,9171,133857,91012,133622,66018,15887,0,32783,0,339322,0,31611,7523,0,0,0,107136,49095,525,18846,39416,2756,1982,6631,20834,0,0,247221,306452,35.4,12.5,23.95
 mymenshing ,2009,39132,1662,106457,550642,801190,1458289,4055,29029,37272,0,80,no,120936,42363,42428,30791,236518,163675,148743,68689,9442,0,48398,0,438947,0,10639,33044,0,0,0,89240,183790,18491,13418,30254,1991,1119,16808,8255,396,12026,375788,390873,30.48,21.2,25.84
 kishoregonj ,2009,18667,1653,33845,133432,679655,846932,9154,44606,105180,0,80,yes,55839,10939,10321,3647,80746,15749,55649,45163,77992,30550,34449,0,259552,0,2241,9753,0,0,0,110967,82305,418,32,972,0,0,0,0,0,0,194694,225451,33,13.2,23.1
 dhaka ,2010,523,1523,1353,28772,203305,233430,901,49029,63147,14118,55.3,yes,27967,8675,4822,1688,43152,30118,32245,20539,41335,0,30137,7157,161531,4925,6784,6267,7720,26343,28493,87919,1942,0,0,0,0,0,0,0,0,0,152417,124271,35.5,12.8,24.15
 gazipur ,2010,2178,1181,4086,125245,247999,377330,365,5475,10338,0,55.3,yes,29295,9435,9140,5967,53837,88346,30449,15220,20654,0,16646,0,171315,0,740,29734,0,0,0,18149,4384,25,30851,40147,2305,8414,3757,9583,0,0,117615,154839,29.7,11,20.35
 narsingdi ,2010,275,1181,516,109773,229264,339553,1558,12526,36799,0,55.3,no,30464,5044,5147,2864,43519,23779,27893,22923,20368,0,15283,0,110246,0,9990,2189,0,0,0,49961,27301,0,536,8407,605,0,175,850,0,0,87835,94811,35,12.8,23.9
 narayangonj ,2010,177,1181,2220,19742,111879,133841,2286,85610,2313,0,55.3,no,17014,8075,7209,628,32926,9076,13243,14834,22629,0,9927,422,70131,0,2492,3273,0,0,0,14665,25702,0,2457,4904,24,241,0,669,0,0,48662,60041,35,12.8,23.9
 tangail ,2010,1045,1750,907,250758,645116,896781,12678,40498,161142,0,64,no,91923,18601,20775,9526,140825,91012,133622,66018,15887,0,28696,0,335235,0,25430,10608,0,0,0,138804,48772,513,12679,42444,2518,1931,6582,20152,0,0,274395,306425,35,10.4,22.7
 mymenshing ,2010,38231,2095,71548,475919,908157,1455624,2425,36304,39786,0,66.3,no,119974,32347,49366,29182,230869,163675,148743,68689,9442,0,50861,0,441410,0,9667,33632,0,0,0,90193,125976,13458,18326,30396,2690,1285,10866,7307,377,17103,317977,391055,30.7,21.3,26
 kishoregonj ,2010,19567,1811,33830,140425,621424,795679,10363,56592,99041,0,66.3,yes,69834,14890,18374,5455,108553,15749,55649,45163,77992,30550,31765,0,256868,0,2391,10146,0,0,0,119836,86979,379,28,1093,0,0,0,0,0,0,208315,224915,32.4,11.71,22.055
 dhaka ,2011,587,1776,912,26151,226879,253942,710,45670,67453,14277,68.2,yes,36991,9386,5553,1628,53558,30118,32245,20539,41335,0,30137,7065,161439,4885,6825,6282,7719,26346,28425,87965,1987,0,0,0,0,0,0,0,0,0,152442,124170,23.4,12.2,17.8
 gazipur ,2011,2247,1777,3869,125950,220675,350494,291,5054,17556,0,68.2,yes,29457,9866,9041,5831,54195,88346,30449,15220,20654,0,17041,0,171710,0,664,28723,0,0,0,17685,4854,22,26416,47368,2730,8375,4209,15841,0,0,127500,154779,31,12.7,21.85
 narsingdi ,2011,282,1777,517,103641,223980,328138,2264,21049,64371,0,68.2,no,30205,5129,5488,3244,44066,23779,27893,22923,20368,0,25807,0,120770,0,5204,5817,0,0,0,50008,28781,0,962,9179,274,0,104,304,0,0,89612,94711,23.4,12.2,17.8
 narayangonj ,2011,141,1777,1003,18736,118127,137866,2597,96256,2875,0,68.2,no,17384,8313,7374,602,33673,9076,13243,14834,22629,0,19705,363,79850,0,2447,3351,0,0,0,19051,24816,0,3020,3824,42,238,0,780,0,0,51771,59621,23.4,12.2,17.8
 tangail ,2011,1231,1839,865,285921,652732,939518,13341,41948,250120,0,77.7,yes,93730,19362,17605,9765,140462,91012,133622,66018,15887,0,33939,0,340478,0,24400,10184,0,0,0,145207,43066,586,13078,39579,2729,1986,6983,20641,0,0,273855,307064,22.5,10.1,16.3
 mymenshing ,2011,38522,2147,103901,587762,925937,1617600,3502,40285,70999,0,79.3,yes,120944,41236,44949,30009,237138,163675,148743,68689,9442,0,38515,0,429064,0,10001,34907,0,0,0,89913,183152,17071,16868,26798,2787,1513,9654,8058,421,18396,374631,390676,29.6,20.8,25.2
 kishoregonj ,2011,19757,2153,45441,479799,1388619,1913859,5473,46171,146373,0,79.3,yes,65338,14518,11410,6349,97615,15749,55649,45163,77992,30550,31822,0,256925,0,2127,13084,0,0,0,104315,88951,333,30,1097,0,0,0,0,0,0,194726,225465,22.2,10.8,16.5
 dhaka ,2012,525,1329,927,23809,204100,228836,565,41564,58982,14148,58,yes,32966,8166,5498,1925,48555,30118,32245,20539,41335,0,30137,7005,161379,4930,6862,6295,7707,26294,28895,87915,1877,0,0,0,0,0,0,0,0,0,152688,124357,30.8,12.2,21.5
 gazipur ,2012,2019,2122,4103,116994,250778,371875,273,4601,6993,0,58,yes,29105,9857,9177,5927,54066,88346,30449,15220,20654,0,16339,0,171008,0,718,27824,0,0,0,13821,4091,7,27106,42698,1992,8453,5085,12593,0,0,115846,154740,30,13,21.5
 narsingdi ,2012,255,2195,609,107112,220941,328662,1540,15655,52187,0,66,yes,30724,5200,5840,3804,45568,23779,27893,22923,20368,0,22454,0,117417,0,10200,7057,0,0,0,44072,23881,0,651,8867,759,0,103,870,0,0,79203,94917,27,14.5,20.75
 narayangonj ,2012,169,2122,383,16311,125444,142138,368,100547,2964,0,66,no,17149,8408,7510,732,33799,9076,13243,14834,22629,0,15243,572,75597,0,2435,3026,0,0,0,14222,20519,0,3162,4304,36,259,0,610,0,0,43112,60076,28.7,13.3,21
 tangail ,2012,857,1469,1004,266992,658508,926504,15058,39150,246721,0,76,no,91285,18985,19294,9068,138632,91012,133622,66018,15887,0,32883,0,339422,0,23879,5530,0,0,0,158905,39827,690,16357,46340,2198,1741,7027,20044,0,0,293129,307048,26.7,10.7,18.7
 mymenshing ,2012,39852,1479,108383,568546,966869,1643798,2400,38005,104468,0,78,yes,118950,47006,52921,31153,250030,163675,148743,68689,9442,0,46858,0,437407,0,14435,31623,0,0,0,80831,152733,14391,15503,25071,2887,1613,10046,7004,426,15971,326476,390788,29.6,20,24.8
 kishoregonj ,2012,18878,1930,46162,488931,1343510,1878603,6449,54701,152952,0,79,yes,66013,20332,16690,6860,109895,15749,55649,45163,77992,30550,30633,0,255736,0,2499,12839,0,0,0,113683,81634,405,35,974,0,0,0,0,0,0,196731,225878,29.4,11.8,20.6
 dhaka ,2013,502,1590,752,27797,190646,219195,513,40571,57230,14205,63,yes,30332,9188,5490,1941,46951,30118,32245,20539,41335,0,30137,7138,161512,4877,6877,6254,7707,26311,28987,87963,1904,0,0,0,0,0,0,0,0,0,152872,124206,30.9,12.1,21.5
 gazipur ,2013,2128,2170,3730,111453,237235,352418,238,3353,10458,0,63,yes,29301,9704,9270,5990,54265,88346,30449,15220,20654,0,16365,0,171034,0,695,29084,0,0,0,18583,4222,18,32923,47717,2041,7438,4959,14609,0,0,132510,154900,31.7,10.22,20.96
 narsingdi ,2013,262,2256,493,89870,228106,318469,2363,17824,39048,0,66,no,30294,5094,5155,3426,43969,23779,27893,22923,20368,0,24154,0,119117,0,6318,6368,0,0,0,47072,23458,0,622,9973,764,0,144,926,0,0,82959,94790,31.25,10.43,20.84
 narayangonj ,2013,178,2063,328,16176,119076,135580,426,76953,3400,0,65.3,no,17610,8707,7653,598,34568,9076,13243,14834,22629,0,18882,521,79185,0,2539,3008,0,0,0,21352,25143,0,2295,4432,25,299,0,575,0,0,54121,60007,30.6,11.2,20.9
 tangail ,2013,509,1182,709,241394,658469,900572,15515,39234,219522,0,78,no,89379,20598,18579,8782,137338,91012,133622,66018,15887,0,31138,0,337677,0,24426,9972,0,0,0,127999,47676,483,12517,43216,2043,1764,6278,20586,0,0,262562,306426,27,11.6,19.3
 mymenshing ,2013,39131,1739,75085,575001,936015,1586101,2500,35094,96470,0,79.2,yes,123953,45664,43889,30172,243678,163675,148743,68689,9442,0,48337,0,438886,0,13402,34894,0,0,0,75149,107676,19308,9469,28273,2289,1941,15587,8238,394,9992,278316,390844,30,20.8,25.4
 kishoregonj ,2013,18667,1859,41550,501047,1425741,1968338,7262,51432,127486,0,78,yes,68183,13092,14431,7698,103404,15749,55649,45163,77992,30550,34382,0,259485,0,2098,17871,0,0,0,101983,87654,383,45,823,0,0,0,0,0,0,190888,226087,31.3,13.2,22.25
 dhaka ,2014,477,1399,948,25676,200560,227184,710,41062,52200,14095,64.7,yes,35321,9233,5369,1926,51849,30118,32245,20539,41335,0,30137,7042,161416,4952,6832,6297,7703,26322,28199,87938,1896,0,0,0,0,0,0,0,0,0,152058,124158,31.1,14.2,22.65
 gazipur ,2014,2430,1991,6324,97502,228161,331987,205,2711,13464,0,64.7,yes,29564,9578,9139,5970,54251,88346,30449,15220,20654,0,16635,0,171304,0,769,27874,0,0,0,12314,4285,17,32076,50661,2601,7107,3966,12080,0,0,125107,154602,30.4,11.5,20.95
 narsingdi ,2014,269,2384,419,88303,205812,294534,811,12975,39367,0,71,no,30914,5398,5552,3582,45446,23779,27893,22923,20368,0,21825,0,116788,0,7862,8846,0,0,0,39290,26918,0,645,9234,794,0,190,762,0,0,77833,94770,29.44,11.9,20.67
 narayangonj ,2014,150,1540,344,13714,117576,131634,382,65423,3352,0,68.2,no,17220,8897,8058,657,34832,9076,13243,14834,22629,0,11855,407,72044,0,2378,3320,0,0,0,20422,24052,0,2254,3850,27,235,0,765,0,0,51605,59715,32.2,15.9,24.05
 tangail ,2014,1176,1641,2129,259119,682506,943754,17153,28216,222290,0,76,no,91374,19201,20293,9153,140021,91012,133622,66018,15887,0,30014,0,336553,0,27011,7104,0,0,0,135898,50857,667,14278,41150,2522,1970,6291,20553,0,0,274186,306725,27.5,12.9,20.2
 mymenshing ,2014,30579,1934,63482,563878,1076409,1703769,4934,16960,77949,0,72,no,111792,45750,40792,31212,229546,163675,148743,68689,9442,0,50306,0,440855,0,10220,33183,0,0,0,86164,110555,19448,10681,28353,2862,1186,11557,8202,412,15520,294940,390448,30.3,20.9,25.6
 kishoregonj ,2014,19611,1660,47548,175719,707864,931131,2878,40158,62109,0,78,yes,53602,11112,14965,6596,86275,15749,55649,45163,77992,30550,31112,0,256215,0,2207,14366,0,0,0,104282,90908,352,40,547,0,0,0,0,0,0,196129,225052,33.5,12.5,23
 dhaka ,2015,692,2166,1413,15604,205638,222655,716,51989,58234,14214,60.2,yes,30750,9544,5684,1586,47564,30118,32245,20539,41335,0,30137,7038,161412,4909,6848,6281,7714,26371,28719,87924,1950,0,0,0,0,0,0,0,0,0,152678,124203,34.2,12.7,23.45
 gazipur ,2015,1672,1927,4071,101542,231718,337331,156,3335,12378,0,60.2,yes,29543,9626,9453,5865,54487,88346,30449,15220,20654,0,17146,0,171815,0,686,28885,0,0,0,15846,5062,19,30276,49531,2187,9873,3963,13704,0,0,130461,154879,29,12,20.5
 narsingdi ,2015,299,2176,474,91527,196927,288928,623,13220,37248,0,73,no,30530,5391,5314,3939,45174,23779,27893,22923,20368,0,14901,0,109864,0,10761,3597,0,0,0,40313,33616,0,845,10345,621,0,248,381,0,0,86369,94750,28,12,20
 narayangonj ,2015,21,1633,49,12516,101838,114403,397,62389,3777,0,62,yes,17964,9125,7798,711,35598,9076,13243,14834,22629,0,14684,504,74970,0,2245,2915,0,0,0,21332,27424,0,2314,5156,21,192,0,683,0,0,57122,60077,28.3,15.2,21.75
 tangail ,2015,965,1871,546,263074,729912,993532,15893,45260,221236,0,69,yes,88951,20126,19254,9795,138126,91012,133622,66018,15887,0,28386,0,334925,0,28227,8464,0,0,0,137851,39171,600,14671,48554,1910,2036,6302,20656,0,0,271751,306989,34.3,13.2,23.75
 mymenshing ,2015,26570,2084,62927,636761,1080151,1779839,3415,43888,67001,0,68,yes,116294,48421,51950,30842,247507,163675,148743,68689,9442,0,48904,0,439453,0,10705,30385,0,0,0,79059,185259,20826,9996,27935,3080,1564,13537,6868,493,16019,364636,390970,30.5,20.9,25.7
 kishoregonj ,2015,19154,1686,45640,188211,713696,947547,2525,52907,65304,0,80,yes,64666,13232,16554,6746,101198,15749,55649,45163,77992,30550,29732,0,254835,0,2049,10136,0,0,0,105136,83642,415,29,606,0,0,0,0,0,0,189828,225589,30.3,11.3,20.8
 dhaka ,2016,654,1562,1431,27419,211933,240783,657,47167,54177,14088,65,yes,36712,9094,5705,1987,53498,30118,32245,20539,41335,0,30137,7017,161391,4903,6825,6258,7718,26304,28519,87968,1984,0,0,0,0,0,0,0,0,0,152493,124269,27,13.6,20.3
 gazipur ,2016,1182,1950,2508,95483,234186,332177,158,3646,14256,0,65,yes,29159,9416,9491,5837,53903,88346,30449,15220,20654,0,16440,0,171109,0,591,28773,0,0,0,18484,4611,30,29189,50574,2766,7791,4359,14299,0,0,132103,154602,31.2,10.7,20.95
 narsingdi ,2016,138,1841,206,79512,197940,277658,385,20759,34501,0,55,no,31056,5227,5836,3450,45569,23779,27893,22923,20368,0,18765,0,113728,0,6671,5645,0,0,0,42076,31938,0,823,8779,817,0,148,987,0,0,85568,95097,30.3,10.3,20.3
 narayangonj ,2016,153,1594,327,9945,95582,105854,345,64900,4153,0,57.5,no,18221,8356,7730,566,34873,9076,13243,14834,22629,0,20144,567,80493,0,2307,3058,0,0,0,21420,22507,0,2649,4631,32,258,0,798,0,0,52295,59606,30.1,14.7,22.4
 tangail ,2016,1211,1749,1282,277697,725634,1004613,17338,48956,199718,0,79,yes,93695,20181,18682,10088,142646,91012,133622,66018,15887,0,28416,0,334955,0,29250,9351,0,0,0,102935,40438,528,13103,40658,3077,1702,6942,20475,0,0,229858,306918,30.1,12.3,21.2
 mymenshing ,2016,23288,1632,57140,647789,1074189,1779118,2757,41555,70152,0,69.5,yes,124574,48162,45582,31785,250103,163675,148743,68689,9442,0,41031,0,431580,0,15858,32760,0,0,0,76492,189477,14529,9582,23345,2777,1649,12033,7306,294,18093,355577,390670,30.7,21,25.85
 kishoregonj ,2016,23840,1630,48583,202701,699047,950331,2469,52557,61146,0,78,yes,70372,19507,17138,8170,115187,15749,55649,45163,77992,30550,31965,0,257068,0,2448,12282,0,0,0,115903,85291,345,29,1087,0,0,0,0,0,0,202655,225257,30.7,11.2,20.95
 dhaka ,2017,655,1640,1407,27671,218997,248075,742,41497,54590,14155,69,yes,37382,8782,5410,1903,53477,30118,32245,20539,41335,0,30137,7005,161379,4923,6851,6254,7718,26338,28746,87971,1960,0,0,0,0,0,0,0,0,0,152733,124287,31,12.7,21.85
 gazipur ,2017,1229,2185,2980,97465,223605,324050,125,3749,6465,0,69,yes,29558,9880,9170,5849,54457,88346,30449,15220,20654,0,16654,0,171323,0,676,27878,0,0,0,13710,5022,14,28496,41094,2312,9426,4294,13054,0,0,117422,154641,31.5,13,22.25
 narsingdi ,2017,282,2016,565,80294,190769,271628,352,19750,34752,0,62,no,30691,5378,5062,3299,44430,23779,27893,22923,20368,0,26549,0,121512,0,10677,6997,0,0,0,46080,23348,0,882,7707,673,0,133,757,0,0,79580,94978,27.7,14.5,21.1
